embedding,encoder,tagset,link,metric,set,precision,recall,f1
latin-bert,lstm,biom,td,epm,optimization,0.4172661870503597,0.3036649214659686,0.3515151515151515
latin-bert,lstm,biom,td,epm,test,0.3652694610778443,0.2837209302325581,0.3193717277486911
latin-bert,lstm,biom,td,mpbm,training,0.6278997834828333,0.6219362745098039,0.6249038017546561
latin-bert,lstm,biom,td,mpbm,validation,0.4648910411622276,0.401673640167364,0.43097643097643096
latin-bert,lstm,biom,td,mpbm,optimization,0.45977011494252873,0.37735849056603776,0.4145077720207254
latin-bert,lstm,biom,td,mpbm,test,0.47619047619047616,0.41237113402061853,0.441988950276243
latin-bert,lstm,biom,td,mbawo,training,0.6802060778018367,0.6585700860261693,0.6692132520384926
latin-bert,lstm,biom,td,mbawo,validation,0.5067114093959731,0.39018087855297157,0.44087591240875906
latin-bert,lstm,biom,td,mbawo,optimization,0.5533101045296167,0.42619431025228127,0.48150394178289874
latin-bert,lstm,biom,td,mbawo,test,0.5288915094339622,0.43333333333333335,0.4763674986723314
latin-bert,lstm,biom,td,mwo,training,0.7101470917643545,0.6875587363550929,0.6986703885991332
latin-bert,lstm,biom,td,mwo,validation,0.5348993288590604,0.41188630490956074,0.46540145985401465
latin-bert,lstm,biom,td,mwo,optimization,0.5881533101045296,0.45303274288781537,0.5118253486961796
latin-bert,lstm,biom,td,mwo,test,0.5689858490566038,0.46618357487922707,0.5124800849707912
latin-bert,lstm,bioje,bd,epm,training,0.7004433185560481,0.7638121546961326,0.7307565246118269
latin-bert,lstm,bioje,bd,epm,validation,0.22885572139303484,0.22115384615384615,0.22493887530562348
latin-bert,lstm,bioje,bd,epm,optimization,0.29381443298969073,0.29842931937172773,0.2961038961038961
latin-bert,lstm,bioje,bd,epm,test,0.28110599078341014,0.2837209302325581,0.28240740740740744
latin-bert,lstm,bioje,bd,mpbm,training,0.7764010137989299,0.8446691176470589,0.8090975788701394
latin-bert,lstm,bioje,bd,mpbm,validation,0.3558951965065502,0.3410041841004184,0.34829059829059833
latin-bert,lstm,bioje,bd,mpbm,optimization,0.3768472906403941,0.3608490566037736,0.3686746987951807
latin-bert,lstm,bioje,bd,mpbm,test,0.40169133192389006,0.3917525773195876,0.3966597077244258
latin-bert,lstm,bioje,bd,mbawo,training,0.7778055330044339,0.9003831417624522,0.8346177042149703
latin-bert,lstm,bioje,bd,mbawo,validation,0.4216335540838852,0.3948320413436692,0.40779290098745663
latin-bert,lstm,bioje,bd,mbawo,optimization,0.47166841552990557,0.4825550187869028,0.4770496152825684
latin-bert,lstm,bioje,bd,mbawo,test,0.4335458558116724,0.4270531400966184,0.43027500608420544
latin-bert,lstm,bioje,bd,mwo,training,0.7934178479985012,0.9184558664064194,0.8513703678884942
latin-bert,lstm,bioje,bd,mwo,validation,0.4718543046357616,0.4418604651162791,0.45636509207365894
latin-bert,lstm,bioje,bd,mwo,optimization,0.5362014690451207,0.5485775630703167,0.542318917484744
